_id,RestaurantID,Name,Location,CuisineType,PriceRange,ContactInfo,Menus[0].MenuID,Menus[1].MenuID,Menus[2].MenuID,Menus[0].DishName,Menus[1].DishName,Menus[2].DishName,Menus[0].Price,Menus[1].Price,Menus[2].Price,Menus[0].Type,Menus[1].Type,Menus[2].Type,Reviews[0].ReviewID,Reviews[1].ReviewID,Reviews[0].Rating,Reviews[1].Rating,Reviews[0].Comment,Reviews[1].Comment,Reviews[0].Date,Reviews[1].Date,Reviews[0].Customer.CustomerID,Reviews[1].Customer.CustomerID,Reservations[0].ReservationID,Reservations[1].ReservationID,Reservations[0].Date,Reservations[1].Date,Reservations[0].Time,Reservations[1].Time,Reservations[0].Customer.CustomerID,Reservations[1].Customer.CustomerID,__v
6560229fa623a3e30cf41738,2,Taylor-Lopez New,"2989 Brian Inlet Apt. 846, Danachester, CO 08758",American,$,+1-373-555-8240x3163,104,105,,fish,chips,,50.33,2.12,,American,American,,11,,5,,Health everybody open. What grow some collection number. People Congress writer political each total partner.,,2021-08-05,,1004,,10005,,2022-12-05,,09:10:25,,1005,,
6560229fa623a3e30cf41739,3,Hernandez-Wilson,"93638 Daniel Place, East Crystal, AS 91084",American,$,931-326-8587x220,105,106,107,fish,chips,cola,44.33,22.12,3.55,American,American,American,12,13,3,5,Health capital network teacher subject security.\nMonth heavy represent address decide process just future. Whom head wall born. Skill stuff theory water.,Dog white test. Again pick course media. Price able personal truth successful story former nature.,2023-02-23,2020-01-26,1004,1005,10007,10008,2022-05-18,2022-07-10,22:39:08,12:03:57,1002,1001,
6560229fa623a3e30cf4173a,4,Bailey and Sons,"72748 Clark Avenue Apt. 666, Davisshire, NE 11106",Mexican,$,+1-586-290-8299x3563,108,109,,taco,chips,,33.33,19.33,,Mexican,Mexican,,14,15,4,5,Dinner indeed military choice serve. Talk other condition particular recently police. Example suffer imagine film road.,Wide respond model if hit its throughout.,2021-11-02,2020-01-26,1006,1003,10007,10008,2022-05-18,2020-01-25,22:39:08,09:22:57,1006,1003,
6560229fa623a3e30cf4173b,5,Brown-Calderon,"72748 Clark Avenue Apt. 666, Davisshire, NE 11106","USNV Berger, FPO AE 88103",$$$,594.463.1342,110,110,,taco,chips,,60.23,12.99,,Mexican,Mexican,,16,17,4,5,Dinner indeed military choice serve. Talk other condition particular recently police. Example suffer imagine film road.,Wide respond model if hit its throughout.,2021-11-02,2020-01-26,1001,1002,10009,10010,2022-05-18,2020-01-25,22:39:08,16:12:03,1001,1002,
6560229fa623a3e30cf4173c,6,Waters-Bennett,"012 Sydney Underpass Suite 222, East Eric, WI 46870",Italian,$$$,525.297.9645x134,111,112,,chicken,rice,,30.44,12.99,,Italian,Italian,,18,19,3,4,Whose often reflect success agreement both. Drop customer western Republican.\nManage almost think middle trip rock.,Score discover why tend. Home list fund child. Business only research pull policy.,2021-09-23,2022-02-19,1007,1008,10011,10012,2022-08-18,2022-02-19,07:14:50,21:12:59,1007,1008,
6560229fa623a3e30cf4173d,7,Waters-Bennett,"012 Sydney Underpass Suite 222, East Eric, WI 46870",Italian,$$$,525.297.9645x134,111,112,,chicken,pizza,,30.44,12.99,,Italian,Italian,,18,19,3,4,Whose often reflect success agreement both. Drop customer western Republican.\nManage almost think middle trip rock.,Score discover why tend. Home list fund child. Business only research pull policy.,2021-09-23,2022-02-19,1007,1008,10011,10012,2022-08-18,2022-02-19,07:14:50,21:12:59,1007,1008,
6560229fa623a3e30cf4173e,8,Edwards-Burton,"216 Pierce Center, East Matthewberg, CO 78907",Italian,$$$,6014572291,113,114,,chicken,pizza,,60.44,88.99,,Italian,Italian,,20,21,4,3,Choose mother describe produce age firm. Major second vote want. Picture not single left different.\nWhite game add situation statement house.,Score discover why tend. Home list fund child. Business only research pull policy.,2021-09-23,2022-02-19,1007,1008,10013,10014,2022-08-18,2022-02-19,07:14:50,21:12:59,1007,1008,
6560229fa623a3e30cf4173f,9,"Williams, Murphy and Hardy","3006 Edward Green Apt. 288, Joelmouth, FL 61630",Indian,$$$,(705)210-4966,113,114,,chicken,rice,,26.12,30.55,,Indian,Indian,,22,23,5,5,Choose mother describe produce age firm. Major second vote want. Picture not single left different.\nWhite game add situation statement house.,Score discover why tend. Home list fund child. Business only research pull policy.,2021-09-11,2021-11-30,1005,1006,10015,10016,2021-09-11,2021-11-30,15:18:37,12:03:57,1005,1006,
6560229fa623a3e30cf41740,10,Johnson Ltd,"51074 Heather Bridge, Herrerachester, DE 50498",Indian,$$,(210)971-3487x1427,115,116,,chicken,rice,,35.22,18.88,,Indian,Indian,,24,25,4,5,Enter down player per nor. Animal prepare rule put where quite. Cultural morning control. Lawyer ago itself here raise mind.,Take item hope husband wide dinner style. Feel paper series station opportunity cover quality.,2021-09-12,2022-07-10,1009,1010,10017,10018,2021-09-11,2022-07-10,17:58:32,19:13:55,1009,1010,
656026128e08153f3f7969f7,,Taylor-Lopez Old,Wall ST,American,$,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65602b4fa623a3e30cf41753,1,Lee Ltd,"Unit 5196 Box 3034, DPO AP 65654",Chinese,$,647.745.6154x50558,101,102,,right,Gongbaojiding,,27.94,15.32,,Chinese,Chinese,,,,,,,,,,,,10001,10002,2021-02-23,2022-03-11,00:22:27,10:33:33,1001,1004,
